Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0402_1005Metric,-160.02,-104.902,180,bottom
C2,10p,C_0402_1005Metric,-130.556,-77.216,180,bottom
C3,10u,C_0402_1005Metric,-123.698,-79.248,0,bottom
C4,10p,C_0402_1005Metric,-130.556,-82.55,0,bottom
C5,10u,C_0402_1005Metric,-117.348,-83.566,-90,bottom
C6,100n,C_0402_1005Metric,-118.364,-83.566,-90,bottom
C7,10n,C_0402_1005Metric,-127.739,-83.058,0,bottom
C8,22 uF,C_0402_1005Metric,-148.844,-117.348,180,bottom
C9,1u,C_0402_1005Metric,-127.739,-85.09,180,bottom
C10,0.1u,C_0402_1005Metric,-188.976,-106.708,-90,bottom
C11,0.1u,C_0402_1005Metric,-181.356,-112.268,-90,bottom
C12,22 uF,C_0402_1005Metric,-150.086,-108.712,0,bottom
C13,0.1 uF,C_0402_1005Metric,-146.304,-112.522,-90,bottom
C14,0.1u,C_0603_1608Metric,-190.246,-98.552,90,bottom
C15,22 uF,C_0402_1005Metric,-150.086,-109.728,0,bottom
C16,0.1u,C_0603_1608Metric,-120.396,-122.428,180,bottom
C17,0.1u,C_0603_1608Metric,-152.4,-72.496,0,bottom
C18,0.1u,C_0603_1608Metric,-160.528,-122.174,180,bottom
C19,0.1u,C_0603_1608Metric,-193.04,-72.898,0,bottom
C20,0.1u,C_0402_1005Metric,-150.876,-92.964,90,bottom
C21,0.1u,C_0402_1005Metric,-178.054,-63.5,180,bottom
C22,22n,C_0402_1005Metric,-176.022,-73.152,180,bottom
C23,22 uF,C_0402_1005Metric,-150.114,-110.744,0,bottom
C24,1nF,C_0402_1005Metric,-180.848,-65.786,90,bottom
C25,0.1 uF,C_0603_1608Metric,-121.95,-99.25,180,bottom
C26,22 uF,C_0603_1608Metric,-128.2,-93.98,0,bottom
C27,22 uF,C_0603_1608Metric,-128.2,-95.504,0,bottom
C28,22 uF,C_0603_1608Metric,-128.2,-97.05,0,bottom
C29,22 uF,C_0402_1005Metric,-148.844,-118.364,180,bottom
C30,22 uF,C_0603_1608Metric,-125.717,-105.41,180,bottom
C31,22 uF,C_0603_1608Metric,-125.717,-103.886,180,bottom
F1,1210L450/12SLWR,1210L450-polyfuse,-171.45,-140.462,-90,bottom
F2,1210L450/12SLWR,1210L450-polyfuse,-174.752,-140.486,-90,bottom
FB1,100R @ 100 MHz,L_0603_1608Metric,-188.214,-141.732,180,bottom
FB2,100R @ 100MHz,L_0402_1005Metric,-127.739,-84.074,0,bottom
L1,2.2uH,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-152.146,-113.805,90,bottom
L2,2.2uH,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-129.32,-100.73,90,bottom
Q1,CSD16401Q5,TDSON-8-1,-172.466,-91.298,-90,bottom
Q2,CSD16401Q5,TDSON-8-1,-136.818,-102.924,90,bottom
Q3,CSD16406Q3,TDSON-8-1,-127.508,-115.37,90,bottom
Q4,CSD16406Q3,TDSON-8-1,-145.2,-79.868,-90,bottom
Q5,CSD16406Q3,TDSON-8-1,-121.754,-115.37,90,bottom
Q6,CSD16406Q3,TDSON-8-1,-150.964,-79.956,-90,bottom
Q7,CSD16406Q3,TDSON-8-1,-161.544,-115.062,90,bottom
Q8,CSD16406Q3,TDSON-8-1,-191.77,-80.01,-90,bottom
